Respondent ID,Respondent's gender,Respondent's age,Respondent's marital status,What province does the respondent live?,Name of city / town / growth point,Name of area/ suburb/village,Can you read and write?,What is your highest level of education?,Are you employed?,Mining,Retail,Civil service,Transport,Manufacturing,Tourism,NGOs,Local Government,Vending,Cross border trading,Tuck shop owner,Stationary shop owner,Flea market / bale shop,Canteen shop,Hair-dresser,Beads and ware making,Other (please specify),What best describes ﻿your accommodation agreement?,How can you describe your type of accommodation?,Which bracket can you place your monthly income given your earnings in the past 3 months?,"Have you ever been a part of a policy formulation process? (Eg. National budget consultative meeting, Parliamentary Portfolio Committee Public Outreach)",Budget approval,Discussions on performance of local authority,Discussions on performance of central government,Consultations on service delivery,COVID-19 national response,Consultations on the Transitional Stabilisation Program,Consultations on Vision 2030,Consultations on the National Development Strategy 1,Other (please specify),Do you think there is adequate scope / room for you to make an input towards public policy processes?,Budget approval,Consultations on improvement of service delivery,Discussions on performance of local authorities,Discussions on performance of central government,COVID-19 national response,Development of national processes,Other,Do you know about the National Development Strategy 1: 2021-2025 (NDS1)?,None of the above,Economic Growth and stability,"Transport, Infrastructure and Utilities",Governance,Moving the Economy up the Value Chain and Structural Transformation,Housing Delivery,Devolution,Health and Well-being,Human Capital Development,"Environmental Protection,Climate Resilience and Natural Resource Management",Food Security and Nutrition,Image Building and International Engagement and Re-engagement,Social Protection,Digital Economy,"Youth, Sport and Culture",All of the mentioned priority areas below,Other (please specify),Did you participate or make an input into the content of the NDS1?,Do you know about Vision 2030?,Governance Pillar,Macro-Economic Stability and Financial Re-engagement,Inclusive Growth,Infrastructural Development,Social Development,"Micro, Small and Medium Enterprises",Youth Development,Gender Equality and Women Empowerment,"Sport, Recreation, Arts and Culture",Did you participate or make an input into the content of Vision 2030?,Did you vote in the last general elections,Do you know your current Ward Councillor?,Clean water provision,Garbage disposal,Housing,Road network maintenance,Health care,Employment creation,Electricity,Education,Regular supply of clean water,Garbage disposal,Affordable Housing / Stands,Regular road network maintenance,Functioning and well equipped clinics,Jobs,Improved provision of Education,Vocational training opportunities,Street light  installation and maintenance,Sewer reticulation,Other (please specify),Incompetence by office holders,Corruption,Meddling by central government,Lack of appropriate oversight by Councillors,Lack of appropriate oversight by residents,Inadequate resources,Other (please specify),How would you rank overall local council performance since election so far?,Do you know your current Member of Parliament,Do you know your current Senator?,How would you rank overall Government performance since elections?,Provision / Creation of jobs - Rating,Stability of prices - Rating,Health care delivery - Rating,Education delivery - Rating,Nation building - Rating,Infrastructure development - Rating,Does government have adequate resources to implement or address these issues?,Limited financial resources,Corruption,Sanctions,Lack of political will,Incompetence,Ineffective leadership,Lack of integrity,External political pressures,Other (please specify),Stabilising prices,Fixing cash shortages,Creating employment,Dealing with corruption,Improved infrastructure,Re-engagement with the international community,Working together with other political parties,Resuscitating industry,Improved health service delivery,Improved education provision,Ensuring food security,Affordable housing and stands,Improved local government service provision,Other (please specify),Many of us in well paying jobs (family / friends),Stable and affordable prices of goods,Many of us have our own homes,We are food secure (3 meals a day),Corrupt elements are put in prison,Industries are open and exporting,Our schools are working,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",Political parties are not insulting each other but are working together.,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,Other (please specify),Are there any other issues you feel should be addressed?
13092691085,Male,56 - 65,Married,Matabeleland North,Binga,Chunga,No,Primary school,No,,,,,,,,,,,,,,,,,,Own- Mortgage,Hut,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Remained the same (fair),Non-existent (very bad),Remained the same (fair),Non-existent (very bad),Moderately improved (good),Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Regular supply of clean water,,,Regular road network maintenance,,,Improved provision of Education,,,,,,,,,,Inadequate resources,,Medium,No,No,Medium,Low,Low,Medium,Medium,Medium,Medium,Yes,,Corruption,,,,,,,,,,,Dealing with corruption,,,,,,,,,,,,,,,Corrupt elements are put in prison,,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,,,None
13092690633,Male,18 - 25,Never Married,Midlands,Gweru,Athlone,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Living with family or friends,Full house,US$0-$50,No,,,,,,,,,,Yes,Budget approval,,,,,,,Yes,,Economic Growth and stability,,,Moving the Economy up the Value Chain and Structural Transformation,,,,Human Capital Development,,,,,,,,,No,Yes,,Macro-Economic Stability and Financial Re-engagement,,,,"Micro, Small and Medium Enterprises",,Gender Equality and Women Empowerment,,No,No,Yes,Remained the same (fair),Remained the same (fair),Decreased (bad),Moderately improved (good),Non-existent (very bad),Decreased (bad),Decreased (bad),Non-existent (very bad),Regular supply of clean water,Garbage disposal,,,,,,,,Sewer reticulation,,,Corruption,,,,,,Medium,Yes,Yes,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,Incompetence,,,,,,,Creating employment,,,,,,Improved health service delivery,,,,,,,Stable and affordable prices of goods,,,,,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,,,No
13092618721,Female,46 - 55,Never Married,Midlands,Gweru,Mkoba,Yes,Tertiary education,Yes,,,,,,,,Local Government,,,,,,,,,,Living with family or friends,Full house,US$201-$500,Yes,,,,,COVID-19 national response,,,,,No,,,,,,,,Yes,,,,,,,,,Human Capital Development,,,,,,"Youth, Sport and Culture",,,No,No,,,,,,,,,,,Yes,Yes,Remained the same (fair),Remained the same (fair),Decreased (bad),Moderately improved (good),Non-existent (very bad),Decreased (bad),Decreased (bad),Non-existent (very bad),Regular supply of clean water,Garbage disposal,,,,,,,,Sewer reticulation,,Incompetence by office holders,Corruption,,Lack of appropriate oversight by Councillors,,,,Medium,Yes,No,Low,Low,Low,Low,Low,Low,Medium,Yes,,Corruption,,,,Ineffective leadership,Lack of integrity,,,,,Creating employment,,,,,Resuscitating industry,Improved health service delivery,,,,,,,Stable and affordable prices of goods,,,,Industries are open and exporting,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,,,No
13092502736,Female,46 - 55,Divorced,Matabeleland South,Gwanda town,Garikai phase 2,Yes,Secondary school,Yes,,,,,,,,,,,,,,,,,Fuel attendant,Rental,Room(s) in a house,US$101-$200,No,,,,,,,,,,Yes,Budget approval,Consultations on improvement of service delivery,,,,Development of national processes,,No,,,,,,,,,,,,,,,,,,,Yes,,Macro-Economic Stability and Financial Re-engagement,,,,"Micro, Small and Medium Enterprises",Youth Development,,,Yes,Yes,Yes,Remained the same (fair),Remained the same (fair),Decreased (bad),Non-existent (very bad),Remained the same (fair),Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Regular supply of clean water,Garbage disposal,,Regular road network maintenance,,,,,,,,,Corruption,Meddling by central government,,,,,Low,Yes,Yes,Low,Low,Low,Low,Medium,Low,Low,Yes,,,,Lack of political will,Incompetence,,Lack of integrity,,,Stabilising prices,,Creating employment,,Improved infrastructure,,,,,,,,,,,Stable and affordable prices of goods,,,,Industries are open and exporting,,,,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,,N/A
13092494645,Female,36 - 45,Married,Matabeleland South,Gwanda  town,Garikai phase 2,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Rental,Cottage,US$51-$100,No,,,,,,,,,,Yes,,Consultations on improvement of service delivery,Discussions on performance of local authorities,,,,,No,,,,,,,,,,,,,,,,,,,Yes,,Macro-Economic Stability and Financial Re-engagement,,Infrastructural Development,,"Micro, Small and Medium Enterprises",,,,Yes,Yes,Yes,Remained the same (fair),Decreased (bad),Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Regular supply of clean water,Garbage disposal,,Regular road network maintenance,,,,,,,,,Corruption,Meddling by central government,,,Inadequate resources,,Medium,Yes,Yes,Medium,Low,Low,High,High,Low,Low,Yes,,Corruption,Sanctions,,,,Lack of integrity,,,,Fixing cash shortages,,Dealing with corruption,,,,Resuscitating industry,,,,,,,,Stable and affordable prices of goods,,,Corrupt elements are put in prison,Industries are open and exporting,,,,,,N/A
13092479736,Female,26 - 35,Never Married,Matabeleland South,Gwanda town,Garikai Phase2,Yes,Tertiary education,Yes,,,,,,,,,,,,,,,Hair-dresser,,,Living with family or friends,Room(s) in a house,US$51-$100,Yes,,Discussions on performance of local authority,,,,,,,Budget retreaval,Yes,Budget approval,Consultations on improvement of service delivery,,,,,Other,Yes,,Economic Growth and stability,,Governance,,,,,Human Capital Development,,,,,,,,,No,Yes,,,,Infrastructural Development,,"Micro, Small and Medium Enterprises",Youth Development,,,Yes,Yes,Yes,Decreased (bad),Decreased (bad),Decreased (bad),Decreased (bad),Remained the same (fair),Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Regular supply of clean water,,,Regular road network maintenance,,,,,Street light  installation and maintenance,,,Incompetence by office holders,Corruption,Meddling by central government,,,,,Low,Yes,Yes,Low,Low,Low,Medium,Medium,Low,Low,Yes,,Corruption,Sanctions,,Incompetence,,,,,Stabilising prices,,Creating employment,Dealing with corruption,,,,,,,,,,,Many of us in well paying jobs (family / friends),,,,Corrupt elements are put in prison,Industries are open and exporting,,,,,,Servicing all stands there are some which are yet to be serviced
13092427720,Female,36 - 45,Married,Matabeleland South,Gwanda  town,Garikai phase 3,Yes,Tertiary education,Yes,,,,,,,,Local Government,,,,,,,,,,Own- Mortgage,Full house,US$201-$500,Yes,Budget approval,Discussions on performance of local authority,,Consultations on service delivery,,,,,,Yes,Budget approval,Consultations on improvement of service delivery,Discussions on performance of local authorities,,,,,Yes,,Economic Growth and stability,,,,,Devolution,,,,,,,Digital Economy,,,,Yes,Yes,,,,Infrastructural Development,,"Micro, Small and Medium Enterprises",,Gender Equality and Women Empowerment,,Yes,Yes,Yes,Remained the same (fair),Remained the same (fair),Decreased (bad),Decreased (bad),Remained the same (fair),Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Regular supply of clean water,,,,,,,Vocational training opportunities,Street light  installation and maintenance,,,,Corruption,Meddling by central government,,,,,Low,Yes,Yes,Low,Low,Low,Medium,Medium,Low,Low,Yes,,Corruption,,,Incompetence,,,,,,,,Dealing with corruption,,Re-engagement with the international community,,Resuscitating industry,,,,,,,,,,,Corrupt elements are put in prison,Industries are open and exporting,,,,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,,Constructing and mantaining roads 
13092413775,Male,36 - 45,Married,Matabeleland South,Gwanda  town,Garikai phase 3,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Rental,Room(s) in a house,US$101-$200,Yes,,,,Consultations on service delivery,,Consultations on the Transitional Stabilisation Program,,,,Yes,,Consultations on improvement of service delivery,,,,Development of national processes,,Yes,,,,Governance,,,,,Human Capital Development,,,Image Building and International Engagement and Re-engagement,,,,,,No,Yes,Governance Pillar,,,,,"Micro, Small and Medium Enterprises",,Gender Equality and Women Empowerment,,Yes,Yes,Yes,Remained the same (fair),Remained the same (fair),Decreased (bad),Non-existent (very bad),Remained the same (fair),Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Regular supply of clean water,,,,,,,,Street light  installation and maintenance,Sewer reticulation,,Incompetence by office holders,Corruption,,,,,,Low,Yes,Yes,Low,Low,Low,Medium,Medium,Low,Low,Yes,,,,,Incompetence,,Lack of integrity,,,,,Creating employment,,,,,Resuscitating industry,,,Ensuring food security,,,,,Stable and affordable prices of goods,,,,Industries are open and exporting,,,,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,,"Building clinic which will near Garikai, and a bridge from Pakama to Garikai to be speeded up its construction"
13092399180,Male,56 - 65,Married,Matabeleland South,Gwanda  town,Mount Cazalet,Yes,Tertiary education,No,,,,,,,,,,,,,,,,,,Own- Mortgage,Full house,US$101-$200,Yes,,Discussions on performance of local authority,Discussions on performance of central government,,,,Consultations on Vision 2030,,,Yes,,Consultations on improvement of service delivery,Discussions on performance of local authorities,,,Development of national processes,,Yes,,Economic Growth and stability,"Transport, Infrastructure and Utilities",,,,,,,,,Image Building and International Engagement and Re-engagement,,,,,,Yes,Yes,Governance Pillar,Macro-Economic Stability and Financial Re-engagement,,,,,,,"Sport, Recreation, Arts and Culture",Yes,Yes,Yes,Remained the same (fair),Remained the same (fair),Decreased (bad),Remained the same (fair),Moderately improved (good),Decreased (bad),Remained the same (fair),Moderately improved (good),Regular supply of clean water,,,Regular road network maintenance,,,,,,Sewer reticulation,,Incompetence by office holders,Corruption,,Lack of appropriate oversight by Councillors,,,,Low,Yes,Yes,Low,Low,Low,Medium,High,Low,Low,Yes,,Corruption,,,,Ineffective leadership,Lack of integrity,,,Stabilising prices,,Creating employment,Dealing with corruption,,,,,,,,,,,Many of us in well paying jobs (family / friends),,,,,Industries are open and exporting,,,,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,,No
13092368981,Female,36 - 45,Separated,Matabeleland South,Gwanda  North,Nyandeni village 4 ,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Own- Mortgage,Flat,US$51-$100,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,Yes,,Macro-Economic Stability and Financial Re-engagement,,,,"Micro, Small and Medium Enterprises",,Gender Equality and Women Empowerment,,Yes,Yes,Yes,Remained the same (fair),Remained the same (fair),Decreased (bad),Decreased (bad),Moderately improved (good),Non-existent (very bad),Remained the same (fair),Moderately improved (good),Regular supply of clean water,Garbage disposal,,Regular road network maintenance,,,,,,,,Incompetence by office holders,,Meddling by central government,,,,,Low,Yes,Yes,Low,Low,Low,Medium,High,Low,Low,Yes,,Corruption,Sanctions,,,Ineffective leadership,,,,Stabilising prices,,,,,Re-engagement with the international community,,Resuscitating industry,,,,,,,,,Many of us have our own homes,,,Industries are open and exporting,,,,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,,No
13092250999,Male,36 - 45,Separated,Matabeleland South,Gwanda North,Mtshaheni village 2,Yes,Tertiary education,Yes,,,Civil service,,,,,,,,,,,,,,,Company owned,Cottage,US$201-$500,Yes,,,Discussions on performance of central government,,,Consultations on the Transitional Stabilisation Program,,,Budget retreaval,Yes,,,Discussions on performance of local authorities,,,Development of national processes,Other,Yes,,Economic Growth and stability,"Transport, Infrastructure and Utilities",,,,,,,"Environmental Protection,Climate Resilience and Natural Resource Management",,,,,,,,Yes,Yes,,Macro-Economic Stability and Financial Re-engagement,,,,"Micro, Small and Medium Enterprises",,,"Sport, Recreation, Arts and Culture",Yes,Yes,Yes,Remained the same (fair),Decreased (bad),Decreased (bad),Non-existent (very bad),Moderately improved (good),Non-existent (very bad),Remained the same (fair),Moderately improved (good),Regular supply of clean water,,,Regular road network maintenance,,,,,Street light  installation and maintenance,,,Incompetence by office holders,Corruption,Meddling by central government,,,,,Low,Yes,Yes,Low,Low,Low,Medium,Medium,Low,Low,Yes,,,,,Incompetence,Ineffective leadership,Lack of integrity,,,,,,Dealing with corruption,,,,Resuscitating industry,Improved health service delivery,,,,,,,,Many of us have our own homes,,Corrupt elements are put in prison,Industries are open and exporting,,,,,,N/A
13092218931,Female,46 - 55,Married,Matabeleland South,Matshetsheni growth point,Matsholomotshe,Yes,Secondary school,Yes,,,,Transport,,,,,,,,,,,,,,Company owned,Cottage,US$201-$500,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,Yes,,Macro-Economic Stability and Financial Re-engagement,,,,"Micro, Small and Medium Enterprises",Youth Development,,,Yes,Yes,Yes,Non-existent (very bad),Remained the same (fair),Decreased (bad),Decreased (bad),Moderately improved (good),Moderately improved (good),Remained the same (fair),Improved a lot (excellent),Regular supply of clean water,,,,Functioning and well equipped clinics,,,,,Sewer reticulation,,Incompetence by office holders,Corruption,Meddling by central government,,,,,Low,Yes,Yes,Low,Low,Low,Medium,Medium,Low,Low,Yes,,Corruption,,,,Ineffective leadership,,External political pressures,,Stabilising prices,,,,,Re-engagement with the international community,,Resuscitating industry,,,,,,,,Stable and affordable prices of goods,,,Corrupt elements are put in prison,Industries are open and exporting,,,,,,N/A
13092076971,Male,36 - 45,Widowed,Mashonaland West,Raffingora,Raffingora,Yes,Secondary school,Yes,,,,,,,,Local Government,,,,,,,,,,Company owned,Full house,US$201-$500,Yes,,,,,,,Consultations on Vision 2030,,,Yes,,,Discussions on performance of local authorities,Discussions on performance of central government,,,,Yes,,,"Transport, Infrastructure and Utilities",,Moving the Economy up the Value Chain and Structural Transformation,,,,,,,,,Digital Economy,,,,Yes,Yes,,,,Infrastructural Development,,,Youth Development,,,Yes,Yes,Yes,Remained the same (fair),Moderately improved (good),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Regular supply of clean water,,,,,,,,,,,,,,Lack of appropriate oversight by Councillors,,,,Medium,Yes,Yes,Medium,Medium,Medium,Low,Medium,Low,Medium,Yes,Limited financial resources,,Sanctions,,,,,,,,,,Dealing with corruption,Improved infrastructure,,,,Improved health service delivery,,,,,,,Stable and affordable prices of goods,,We are food secure (3 meals a day),,,,,,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,,Nothing
13091833503,Male,26 - 35,Married,Matabeleland South,Beitbridge town,Dulibadzimu t/ship,Yes,Tertiary education,Yes,,,,Transport,,,,,,,,,,,,,,Own- Fully paid for,Cottage,US$101-$200,Yes,,,,Consultations on service delivery,COVID-19 national response,,Consultations on Vision 2030,,,Yes,,Consultations on improvement of service delivery,,,COVID-19 national response,Development of national processes,,Yes,,,"Transport, Infrastructure and Utilities",Governance,Moving the Economy up the Value Chain and Structural Transformation,,,,,,,,,,"Youth, Sport and Culture",,,Yes,Yes,,,,Infrastructural Development,,"Micro, Small and Medium Enterprises",,,"Sport, Recreation, Arts and Culture",Yes,Yes,Yes,Moderately improved (good),Remained the same (fair),Decreased (bad),Decreased (bad),Improved a lot (excellent),Decreased (bad),Remained the same (fair),Improved a lot (excellent),Regular supply of clean water,,,,Functioning and well equipped clinics,,,,,Sewer reticulation,,Incompetence by office holders,Corruption,,,,Inadequate resources,,Medium,Yes,Yes,Medium,Low,Low,High,High,Medium,Medium,Yes,,,Sanctions,,Incompetence,,Lack of integrity,,,,,Creating employment,Dealing with corruption,,,Working together with other political parties,,,,,,,,,Stable and affordable prices of goods,,,Corrupt elements are put in prison,,,,Political parties are not insulting each other but are working together.,,,Lighing system ( street lights) 
13091800624,Male,36 - 45,Married,Matabeleland South,Beitbridge town,Dulibadzimu township,Yes,Secondary school,Yes,,,,,,,,Local Government,,,,,,,,,,Living with family or friends,Full house,US$201-$500,Yes,,Discussions on performance of local authority,,Consultations on service delivery,,,,,,Yes,,Consultations on improvement of service delivery,Discussions on performance of local authorities,,,,,Yes,,,,,,,,,Human Capital Development,,,,,Digital Economy,"Youth, Sport and Culture",,,Yes,Yes,,Macro-Economic Stability and Financial Re-engagement,,Infrastructural Development,,"Micro, Small and Medium Enterprises",,,,Yes,Yes,Yes,Remained the same (fair),Decreased (bad),Non-existent (very bad),Decreased (bad),Moderately improved (good),Non-existent (very bad),Remained the same (fair),Moderately improved (good),Regular supply of clean water,,,Regular road network maintenance,,,,,Street light  installation and maintenance,,,Incompetence by office holders,,Meddling by central government,Lack of appropriate oversight by Councillors,,,,Low,Yes,Yes,Low,Low,Low,Medium,High,Medium,Medium,Yes,,,Sanctions,,Incompetence,,Lack of integrity,,,,,Creating employment,Dealing with corruption,,,,Resuscitating industry,,,,,,,Many of us in well paying jobs (family / friends),,,,Corrupt elements are put in prison,Industries are open and exporting,,,,,,Servicing of new stands 
13091538869,Male,18 - 25,Never Married,Bulawayo,Bulawayo,Hillcrest,Yes,Tertiary education,Yes,,,,,,,,,,,,,,,,,Construction company,Living with family or friends,Full house,US$201-$500,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,Yes,,,,Infrastructural Development,,,Youth Development,,"Sport, Recreation, Arts and Culture",Yes,Yes,Yes,Remained the same (fair),Remained the same (fair),Decreased (bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),,,,Regular road network maintenance,,Jobs,Improved provision of Education,,,,,Incompetence by office holders,Corruption,,Lack of appropriate oversight by Councillors,,,,Low,Yes,Yes,Low,Low,Low,Low,Low,Low,Low,No,,Corruption,,,,Ineffective leadership,Lack of integrity,,,,Fixing cash shortages,,,,,,,Improved health service delivery,Improved education provision,,,,,,,Many of us have our own homes,,Corrupt elements are put in prison,Industries are open and exporting,,,,,,No
13091524521,Male,46 - 55,Married,Bulawayo,Bulawayo,Famona,Yes,Tertiary education,Yes,,,,,,,,Local Government,,,,,,,,,,Rental,Room(s) in a house,US$101-$200,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,Yes,,,,Infrastructural Development,,"Micro, Small and Medium Enterprises",Youth Development,,,No,Yes,Yes,Decreased (bad),Decreased (bad),Non-existent (very bad),Non-existent (very bad),Decreased (bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Regular supply of clean water,,,,Functioning and well equipped clinics,,Improved provision of Education,,,,,Incompetence by office holders,Corruption,Meddling by central government,,,,,Medium,Yes,Yes,Low,Low,Low,Low,Low,Low,Low,No,,Corruption,,Lack of political will,Incompetence,,,,,,,,,Improved infrastructure,,Working together with other political parties,,,,Ensuring food security,,,,,,,,Corrupt elements are put in prison,Industries are open and exporting,,,,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,,None
13091515231,Female,26 - 35,Never Married,Mashonaland East,Murehwa Center,Red bricks,Yes,Secondary school,Yes,,,,,,,,,,,,,,Canteen shop,,,,Living with family or friends,Full house,US$101-$200,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Remained the same (fair),Non-existent (very bad),Remained the same (fair),Remained the same (fair),Remained the same (fair),Decreased (bad),Remained the same (fair),Decreased (bad),Regular supply of clean water,Garbage disposal,,,Functioning and well equipped clinics,,,,,,,,Corruption,,,,Inadequate resources,,Medium,Yes,No,Low,Low,Medium,Medium,Low,Medium,Medium,Yes,,Corruption,,Lack of political will,,Ineffective leadership,,,,,,Creating employment,Dealing with corruption,,,,,Improved health service delivery,,,,,,,Stable and affordable prices of goods,,,Corrupt elements are put in prison,,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,,,None
13091503748,Male,26 - 35,Never Married,Bulawayo,Bulawayo,Malindela,Yes,Tertiary education,Yes,,,Civil service,,,,,,,,,,,,,,Accountant,Living with family or friends,Full house,US$201-$500,No,,,,,,,,,,No,,,,,,,,Yes,,,,Governance,,Housing Delivery,,Health and Well-being,,,,,,,,,,No,Yes,,,,,,"Micro, Small and Medium Enterprises",Youth Development,,"Sport, Recreation, Arts and Culture",No,Yes,Yes,Decreased (bad),Decreased (bad),Decreased (bad),Decreased (bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),,,,Regular road network maintenance,,,Improved provision of Education,Vocational training opportunities,,,,Incompetence by office holders,Corruption,,,,,,Low,No,Yes,Low,Low,Low,Low,Low,Low,Low,No,,,Sanctions,Lack of political will,Incompetence,,,,,,Fixing cash shortages,,,Improved infrastructure,,,,,,,Affordable housing and stands,,,Many of us in well paying jobs (family / friends),Stable and affordable prices of goods,,,,Industries are open and exporting,,,,,,No
13091485580,Male,46 - 55,Divorced,Bulawayo,Bulawayo,Famona,Yes,Tertiary education,Yes,,,,,Manufacturing,,,,,,,,,,,,Carpenter,Rental,Room(s) in a house,more than US$1000,No,,,,,,,,,,No,,,,,,,,Yes,,,,,,,Devolution,,,"Environmental Protection,Climate Resilience and Natural Resource Management",,Image Building and International Engagement and Re-engagement,,,,,,No,Yes,,,,,Social Development,"Micro, Small and Medium Enterprises",Youth Development,,,No,Yes,Yes,Decreased (bad),Decreased (bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Decreased (bad),Decreased (bad),,Garbage disposal,,,Functioning and well equipped clinics,Jobs,,,,,,Incompetence by office holders,Corruption,Meddling by central government,,,,,Medium,Yes,Yes,Low,Low,Low,Low,Low,Low,Low,No,,Corruption,Sanctions,,Incompetence,,,,,,,,Dealing with corruption,,,,,Improved health service delivery,,Ensuring food security,,,,,Stable and affordable prices of goods,Many of us have our own homes,,,,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,,,No
13091483558,Male,26 - 35,Never Married,Midlands,Gweru,Mkoba,Yes,Tertiary education,Yes,,,,,,,,,,,,,,,,,Health,Rental,Room(s) in a house,US$101-$200,No,,,,,,,,,,No,,,,,,,,Yes,,,,,,,,,,"Environmental Protection,Climate Resilience and Natural Resource Management",,,,,"Youth, Sport and Culture",,,No,No,,,,,,,,,,,Yes,Yes,Remained the same (fair),Remained the same (fair),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Decreased (bad),Remained the same (fair),Remained the same (fair),Regular supply of clean water,,,,,,,,,,,,,,Lack of appropriate oversight by Councillors,,,,Low,No,No,Medium,Medium,Medium,Low,Medium,Medium,Low,Yes,,,,,,,,External political pressures,,,,Creating employment,,,,,,,,,,Improved local government service provision,,,Stable and affordable prices of goods,,We are food secure (3 meals a day),,,,,,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,,No
13091465778,Male,66 and above,Married,Bulawayo,Bulawayo,Malindela,Yes,Tertiary education,No,,,,,,,,,,,,,,,,,,Own- Fully paid for,Full house,US$0-$50,No,,,,,,,,,,No,,,,,,,,Yes,,Economic Growth and stability,,,,,Devolution,,,,Food Security and Nutrition,,,,,,,No,Yes,,Macro-Economic Stability and Financial Re-engagement,,,Social Development,,,Gender Equality and Women Empowerment,,No,No,No,Remained the same (fair),Remained the same (fair),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Decreased (bad),Decreased (bad),,,Affordable Housing / Stands,,Functioning and well equipped clinics,,,,Street light  installation and maintenance,,,Incompetence by office holders,Corruption,Meddling by central government,,,,,Low,Yes,Yes,Low,Low,Low,Low,Low,Low,Low,No,,Corruption,,,Incompetence,Ineffective leadership,,,,,,,,,,,Resuscitating industry,,Improved education provision,,Affordable housing and stands,,,Many of us in well paying jobs (family / friends),,,We are food secure (3 meals a day),,Industries are open and exporting,,,,,,"As a pensioner life is difficult for us, and we are struggling to put a meal on our tables. The government should do more to assist us pensioners, because our money has devalued."
13091457648,Female,36 - 45,Married,Midlands,Gweru,Athlone,Yes,Tertiary education,Yes,,,,,,,,,,,,,,,,,Finance Accountant,Own- Fully paid for,Full house,more than US$1000,No,,,,,,,,,,Yes,Budget approval,,,,,Development of national processes,,Yes,,,,,,,,,,"Environmental Protection,Climate Resilience and Natural Resource Management",,,,,,,,No,No,,,,,,,,,,,Yes,No,Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Remained the same (fair),Decreased (bad),Remained the same (fair),Non-existent (very bad),Regular supply of clean water,,,,Functioning and well equipped clinics,,,,,,,,,,,Lack of appropriate oversight by residents,,,Medium,No,No,Medium,Medium,Medium,Low,Medium,High,High,Yes,,,,,,,,External political pressures,,,,,,,,,Resuscitating industry,Improved health service delivery,,,Affordable housing and stands,,,,Stable and affordable prices of goods,,,,,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,,,No
